empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Banco Bradesco,AL,Maceió,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cartão não solicitado - Envio ou cobrança,2026-03-07,Não Avaliada,,2026,3
99Pay,MG,Uberlândia,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Renegociação / parcelamento de dívida,2026-02-04,Não Avaliada,,2026,2
NEON Financeira,MG,Patos de Minas,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida (não cumprimento de acordo de parcelamento),2026-01-08,Não Avaliada,,2026,1
Serasa Experian,RJ,Nova Friburgo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-18,Não Avaliada,,2026,1
Banco do Brasil,RN,Acari,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-04-08,Não Avaliada,,2026,4
Banco Inter (Banco Intermedium),PR,Cambé,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-08,Não Avaliada,,2026,1
Banco Itaú Unibanco,RJ,Rio de Janeiro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,SAC - Descortesia / despreparo / demora,2026-03-06,Não Resolvida,2.0,2026,3
Serasa Experian,CE,Fortaleza,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-03,Não Avaliada,,2026,1
Banco Crefisa,RJ,Volta Redonda,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-03,Não Avaliada,,2026,1
SKY,BA,Salvador,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Dificuldade de acesso a dados pessoais ou financeiros,2026-04-08,Não Resolvida,1.0,2026,4
Facta Financeira,PB,Queimadas,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-17,Não Avaliada,,2026,1
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Negativação indevida - desconhece motivo e/ou fornecedor,2026-01-05,Não Avaliada,,2026,1
Banco Pan,SP,Mogi das Cruzes,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-30,,,2026,1
Banco Santander,PR,Paranaguá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros,2026-01-10,Não Avaliada,,2026,1
Smartfit,DF,Brasília,Serviços Esportivos,Demais Serviços,"Cultura / Esporte / Lazer / Eventos (shows, jogos, cinema, teatro, festas, clubes, academias de ginástica)",Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-12,Não Avaliada,,2026,1
Cemig,MG,Ouro Preto,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Dificuldade de contato / acesso a outros canais (exceto SAC),2026-03-13,Resolvida,5.0,2026,3
Correios,RJ,Rio de Janeiro,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Não entrega / demora na entrega do produto,2026-01-04,Não Avaliada,,2026,1
Serasa Experian,CE,Fortaleza,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-05,Não Avaliada,,2026,1
Nubank,SE,Lagarto,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança de compra/saque não reconhecido,2026-01-21,Não Avaliada,,2026,1
Midway (Riachuelo),CE,Fortaleza,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Dificuldade de contato / acesso a outros canais (exceto SAC),2026-01-03,Não Avaliada,,2026,1
Copel - Companhia Paranaense de Energia,PR,Londrina,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança por Irregularidade ou defeito na medição,2026-03-31,Resolvida,5.0,2026,3
Adidas,RS,Porto Alegre,"Vestuário, Calçados e Acessórios",Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-02-25,Não Avaliada,,2026,2
Caixa Econômica Federal,PR,Alto Porã,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamento de Imóveis,Venda casada,2026-01-08,,,2026,1
Nubank,SE,Aracaju,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cobrança submetendo a ofensa, constrangimento ou ameaça",2026-01-10,Não Resolvida,1.0,2026,1
Banco Bradesco,SP,Guarulhos,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-02-05,Não Resolvida,1.0,2026,2
Caixa Econômica Federal,SC,Penha,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamento de Imóveis,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-09,Não Avaliada,,2026,1
Itapeva Recuperação de Créditos,RJ,Rio de Janeiro,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente a cobrança não reconhecida,2026-01-04,Não Avaliada,,2026,1
Banco Pan,MG,Betim,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Demais Seguros,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-05,,,2026,1
Equatorial Pará (CELPA),PA,Belém,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Suspensão indevida do fornecimento,2026-02-02,Não Avaliada,,2026,2
Banco Itaú Unibanco,PB,João Pessoa,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-06,Não Avaliada,,2026,1
Decolar.com,SC,Imbituba,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-02-18,Não Avaliada,,2026,2
PicPay,RJ,Belford Roxo,Empresas de Pagamento Eletrônico,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Negativação indevida referente a tarifa, taxas não previstas contrato / serviço",2026-02-17,Não Avaliada,,2026,2
Vivo - Telefônica,MG,Contagem,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança após cancelamento do serviço,2026-03-17,Resolvida,5.0,2026,3
Picpay Instituição de Pagamento S/A,SP,Salto,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-05,,,2026,1
Vivo - Telefônica,ES,Vila Velha,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Suspensão ou desligamento indevido do serviço,2026-01-08,,,2026,1
Amazon.com.br,RJ,São Gonçalo,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc )",Produto entregue incompleto / diferente do  pedido,2026-01-12,Não Avaliada,,2026,1
Banco Sicoob (antigo Bancoob),MS,Jardim,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros,2026-01-22,Não Avaliada,,2026,1
Banco Bradesco,RJ,Niterói,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-01-06,Não Avaliada,,2026,1
Unimed CNU (antiga Unimed Nacional),SP,Itatiba,Operadoras de Planos de Saúde e Administradoras de Benefícios,Saúde,"Plano de Saúde (convênio, autogestão, seguro saúde )",Dificuldade de contato / acesso a outros canais (exceto SAC),2026-01-07,,,2026,1
Itapeva Recuperação de Créditos,MG,Montes Claros,Empresas de Recuperação de Crédito,Serviços Financeiros,Financiamentos de Veículos / Leasing,Não entrega do contrato ou documentação relacionada ao serviço,2026-01-05,Não Avaliada,,2026,1
Will Bank,SP,Mogi das Cruzes,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-04-01,Não Avaliada,,2026,4
Ipanema,AL,Maceió,Empresas de Recuperação de Crédito,Serviços Financeiros,Score / Pontuação de Crédito,"Negativação indevida referente a tarifa, taxas não previstas contrato / serviço",2026-03-27,Não Avaliada,,2026,3
Serasa Experian,ES,Serra,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-08,Não Resolvida,1.0,2026,1
Gol Linhas Aéreas,BA,Salvador,Transporte Aéreo,Transportes,Aéreo,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",2026-01-08,Não Resolvida,1.0,2026,1
Expedia.com.br,MT,Cuiabá,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Hospedagem,Inadequação das instalações/ acomodações,2026-01-05,Não Avaliada,,2026,1
Nubank,DF,Brasília,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente à pagamento já efetuado,2026-01-08,,,2026,1
Nubank,BA,Salvador,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-04-10,Não Resolvida,1.0,2026,4
Cartões Itaú,PA,Belém,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-15,Não Avaliada,,2026,1
Mercado Pago,SP,São Paulo,Empresas de Pagamento Eletrônico,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-02,Não Avaliada,,2026,1
Nubank,PR,Curitiba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-06,Não Avaliada,,2026,1
Serasa Experian,PR,Mariluz,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-03-01,Não Avaliada,,2026,3
Gol Linhas Aéreas,SP,São Paulo,Transporte Aéreo,Transportes,Aéreo,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",2026-03-24,Não Avaliada,,2026,3
Comgás - Companhia de Gás de São Paulo,SP,São Paulo,Distribuidoras de Combustíveis / Gás,"Água, Energia, Gás",Gás,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-07,Não Avaliada,,2026,1
LOTTU BET,PE,Santo Agostinho,"Empresas de Apostas, Loterias e Promoções Comerciais","Loterias, Apostas e Promoções Comerciais",Apostas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-07,Não Resolvida,5.0,2026,1
Caixa Econômica Federal,MG,Belo Horizonte,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-01-03,Não Avaliada,,2026,1
QuintoAndar,SP,São Paulo,"Construtoras, Incorporadoras e Imobiliárias",Habitação,Aluguel de Imóvel,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-23,Não Avaliada,,2026,3
Latam Airlines (Tam),SP,Limeira,Transporte Aéreo,Transportes,Aéreo,Atraso de voo,2026-03-25,Resolvida,5.0,2026,3
Caixa Econômica Federal,SP,Guarujá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-03-07,,,2026,3
Enel Distribuição São Paulo (Eletropaulo),SP,São Bernardo do Campo,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-14,Não Avaliada,,2026,1
Aspecir Sociedade de Crédito,RS,Porto Alegre,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Negativação indevida - desconhece motivo e/ou fornecedor,2026-03-14,,,2026,3
Banco Itaú Unibanco,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Negativação indevida referente à pagamento já efetuado,2026-03-11,Não Avaliada,,2026,3
Serasa Experian,RS,Porto Alegre,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-11,Não Avaliada,,2026,1
Amazon.com.br,RJ,Itaguaí,Comércio Eletrônico,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-31,,,2026,1
Banco Santander,SP,São José dos Campos,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-08,Não Avaliada,,2026,1
Energisa Mato Grosso,MT,Cuiabá,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Dificuldade para atualização cadastral ou para acesso aos dados cadastrados/ Alteração de Vencimento,2026-01-09,Não Resolvida,1.0,2026,1
Banco Inter (Banco Intermedium),SC,Blumenau,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-18,Não Avaliada,,2026,1
Caixa Econômica Federal,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Seguro Desemprego / Perda de renda,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-03-30,Não Avaliada,,2026,3
Azul Linhas Aéreas,RJ,Rio de Janeiro,Transporte Aéreo,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Dificuldade para alterar ou cancelar o contrato /serviço,2026-01-28,Resolvida,5.0,2026,1
Banco Santander,MG,Januária,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",2026-02-11,Não Avaliada,,2026,2
Polishop.com.br,MT,Cuiabá,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc )",Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,2026-02-13,Não Avaliada,,2026,2
Nubank,BA,Jaguaquara,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-02-21,Não Avaliada,,2026,2
Banco Inter (Banco Intermedium),SP,Pacaembu,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-01-02,Não Avaliada,,2026,1
Banco Inter (Banco Intermedium),GO,Goiânia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,2026-02-11,Não Avaliada,,2026,2
Serasa Experian,CE,Fortaleza,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Negativação indevida referente à pagamento já efetuado,2026-01-03,Não Avaliada,,2026,1
Banco Bradesco,RJ,Rio de Janeiro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Má qualidade no atendimento presencial ou outros canais (exceto SAC),2026-01-07,Não Resolvida,1.0,2026,1
Banco Bradesco,MA,Buriticupu,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),SAC - Dificuldade para cancelar o serviço,2026-01-11,Não Avaliada,,2026,1
Amazon.com.br,PR,Cascavel,Comércio Eletrônico,Demais Produtos,"Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc)",Não entrega / demora na entrega do produto,2026-01-06,Resolvida,5.0,2026,1
Facta Financeira,PI,Teresina,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-03-09,Não Resolvida,1.0,2026,3
Will Bank,RS,Novo Hamburgo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,2026-01-23,Não Avaliada,,2026,1
LG Electronics - Loja Online,MS,Campo Grande,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-05,,,2026,1
Sabesp,SP,São Paulo,Agua e Saneamento,"Água, Energia, Gás",Água e Esgoto,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-25,Não Avaliada,,2026,3
Nubank,RS,Alecrim,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-14,Não Avaliada,,2026,1
Banco do Brasil,SC,Laguna,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-01-27,Não Avaliada,,2026,1
Banco Santander,AL,Rio Largo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-05,Não Avaliada,,2026,1
Booking.com,CE,Fortaleza,"Viagens, Turismo e Hospedagem",Transportes,Aéreo,Informações incompletas / inadequadas sobre o serviço,2026-03-03,Não Resolvida,1.0,2026,3
Serasa Experian,SP,Araçatuba,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-03,Não Avaliada,,2026,1
Casasbahia.com,MG,Resende Costa,Comércio Eletrônico,Demais Produtos,Móveis e Colchões,Não entrega / demora na entrega do produto,2026-03-12,Resolvida,5.0,2026,3
Bradescard,CE,Itapipoca,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cartão não solicitado - Envio ou cobrança,2026-01-13,Não Avaliada,,2026,1
Banco Inter (Banco Intermedium),RO,Pimenta Bueno,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-04-07,Não Avaliada,,2026,4
Nubank,RJ,Rio de Janeiro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida - desconhece motivo e/ou fornecedor,2026-01-02,,,2026,1
Facebook / Instagram,SP,Embu das Artes,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Suspensão ou desligamento indevido do serviço,2026-02-14,,,2026,2
Serasa Experian,MG,Betim,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Resolvida,1.0,2026,1
Mercado Pago,PA,Floresta do Araguaia,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Dificuldade de acesso a dados pessoais ou financeiros,2026-01-05,Não Resolvida,1.0,2026,1
Too Seguros (antiga PAN Seguros),SP,Sabino,"Seguros, Capitalização e Previdência",Serviços Financeiros,Demais Seguros,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-07,Não Avaliada,,2026,1
Disal,MG,Juruaia,Administradoras de Consórcios,Serviços Financeiros,Consórcios (exceto imóveis),"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-23,Não Avaliada,,2026,1
iFood,PA,Belém,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Serviços de entrega / delivery,Dificuldade de contato / demora no atendimento,2026-01-09,,,2026,1
Will Bank,BA,Ibititá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-01,Não Avaliada,,2026,1
Banco Santander,SP,Ribeirão Preto,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-07,Não Avaliada,,2026,1
Serasa Experian,BA,Salvador,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-08,Não Resolvida,1.0,2026,1
Nubank,SP,Birigüi,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-01-26,Não Avaliada,,2026,1
Azul Linhas Aéreas,SP,Santo André,Transporte Aéreo,Transportes,Aéreo,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",2026-01-01,,,2026,1
Banco Santander,PE,Recife,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-23,Não Avaliada,,2026,1
Serasa Experian,GO,Valparaíso de Goiás,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Dificuldade em obter esclarecimentos sobre os critérios de cálculo do score / análise de risco,2026-01-11,Não Avaliada,,2026,1
Too Seguros (antiga PAN Seguros),RS,Passo Fundo,"Seguros, Capitalização e Previdência",Serviços Financeiros,Demais Seguros,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-07,Não Avaliada,,2026,1
Serasa Experian,RN,Parnamirim,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-07,Não Avaliada,,2026,1
Banco Daycoval,SC,Joinville,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),"Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor",2026-01-09,Não Avaliada,,2026,1
QuintoAndar,MG,Belo Horizonte,"Construtoras, Incorporadoras e Imobiliárias",Habitação,Aluguel de Imóvel,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-03-21,Não Resolvida,1.0,2026,3
Sicredi,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-17,Resolvida,5.0,2026,3
Tim,MG,Belo Horizonte,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,SAC - Dificuldade de contato / acesso,2026-03-14,Resolvida,1.0,2026,3
Banco do Brasil,GO,Goiânia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-04,Não Avaliada,,2026,1
Caixa Econômica Federal,PR,Fazenda Rio Grande,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-25,,,2026,3
Consórcio Nacional Honda,BA,Jussari,Administradoras de Consórcios,Serviços Financeiros,Consórcios (exceto imóveis),Dificuldade de contato / acesso a outros canais (exceto SAC),2026-01-26,Não Avaliada,,2026,1
Buser Brasil,DF,Brasília,Transporte Terrestre,Transportes,Rodoviário interestadual / intermunicipal,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-06,Resolvida,5.0,2026,1
Enel Distribuição São Paulo (Eletropaulo),SP,Guarujá,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,SAC - Dificuldade para cancelar o serviço,2026-03-26,,,2026,3
Caixa Econômica Federal,SP,Guarulhos,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",2026-01-04,Não Avaliada,,2026,1
