empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Vivo - Telefônica,SP,São Paulo,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Demais aparelhos de comunicação,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-01,Não Avaliada,,2026,1
Facebook / Instagram,SP,São Paulo,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Dificuldade de contato / demora no atendimento,2026-01-09,Não Avaliada,,2026,1
Serasa Experian,SC,Três Barras,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-08,Não Resolvida,2.0,2026,1
Banco Bradesco,BA,Santo Antônio de Jesus,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-01-12,Não Avaliada,,2026,1
Suhai Seguradora,SP,Guarulhos,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguros de Veículos,Informações incompletas / inadequadas sobre o serviço,2026-04-09,Não Resolvida,1.0,2026,4
Nubank,SP,Jundiaí,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-07,Não Avaliada,,2026,1
Faculdade Unopar,AM,Manaus,Estabelecimentos de Ensino,Educação,Superior ( Graduação e Pós ),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-08,Resolvida,4.0,2026,1
Banco Bradesco,RS,Alvorada,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-09,Não Avaliada,,2026,1
Banco Safra,GO,Goiânia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Negativação indevida referente à pagamento já efetuado,2026-02-19,Não Avaliada,,2026,2
Serasa Experian,AP,Macapá,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros,2026-01-02,Não Avaliada,,2026,1
Banco do Brasil,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-02,Não Resolvida,3.0,2026,3
Banco Mercantil do Brasil,PA,Abaetetuba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-12,Resolvida,5.0,2026,3
Amazon.com.br,MG,Uberaba,Comércio Eletrônico,Demais Produtos,"Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc)",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-09,Resolvida,4.0,2026,1
Banco Bradesco,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Negativação indevida referente a tarifa, taxas não previstas contrato / serviço",2026-03-16,Não Resolvida,3.0,2026,3
Banco do Brasil,BA,Salvador,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-11,Não Avaliada,,2026,1
Banco Santander,RJ,Rio de Janeiro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Clonagem, fraude, furto e roubo",2026-01-08,Não Resolvida,1.0,2026,1
Magazine Luiza - Loja Física,CE,Juazeiro do Norte,Varejo,Produtos de Telefonia e Informática,Microcomputador e laptops,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,2026-01-13,Não Avaliada,,2026,1
Facebook / Instagram,SP,Suzano,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Funcionamento inadequado do serviço,2026-01-12,,,2026,1
Nubank,RO,Ji-Paraná,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-13,Não Avaliada,,2026,1
Recovery do Brasil Consultoria,SP,Osasco,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cláusulas irregulares / abusivas / de interpretação dúbia,2026-01-11,Não Avaliada,,2026,1
LG Electronics - Loja Online,RJ,Macaé,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor",Não entrega / demora na entrega do produto,2026-01-06,Não Avaliada,,2026,1
Cartão Carrefour,RJ,Duque de Caxias,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Ligações indesejadas de telemarketing (0303),2026-01-12,,,2026,1
Will Bank,GO,Catalão,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,2026-01-26,Não Avaliada,,2026,1
Banco do Brasil,RO,São Miguel do Guaporé,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida (não cumprimento de acordo de parcelamento),2026-01-02,Não Avaliada,,2026,1
Facebook / Instagram,SP,Jundiaí,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,2026-03-14,Não Resolvida,1.0,2026,3
Equatorial Pará (CELPA),PA,Belém,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,"Faturamento Mini/Microgeração - erro no cálculo/uso dos créditos (energia solar, eólica etc)",2026-01-14,Não Avaliada,,2026,1
